test_id,robot_count,mission_size,inventory_id,scenario,mode,makespan,robot_id,robot_idle_time
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_4,56.883928298950195
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_5,11.96718692779541
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_6,82.42581796646118
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_7,134.96421360969543
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_8,92.90630531311035
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_9,59.9459273815155
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_10,67.40022921562195
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_1,88.46078181266785
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_2,88.4270646572113
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_3,121.50370335578918
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_4,133.5020785331726
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_5,122.96385025978088
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_6,116.96494746208191
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_7,121.50373983383179
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_8,133.5020785331726
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_9,133.5020785331726
test_10_2_t_agriculture_i0_bl2,10,2,0,agriculture,bl2,133.5020785331726,robot_10,133.5020785331726
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_1,610.5060424804688
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_2,611.9686939716339
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_3,614.9665040969849
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_4,520.5027866363525
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_5,617.9688262939453
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_6,298.0957729816437
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_7,326.4410226345062
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_8,611.9624028205872
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_9,619.50497174263
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,robot_10,493.27927923202515
test_5_10_t_surveillance_i2_multi3,5,10,2,surveillance,multi3,261.0225684642792,robot_1,146.9009621143341
test_5_10_t_surveillance_i2_multi3,5,10,2,surveillance,multi3,261.0225684642792,robot_2,195.02281832695007
test_5_10_t_surveillance_i2_multi3,5,10,2,surveillance,multi3,261.0225684642792,robot_3,199.5024914741516
test_5_10_t_surveillance_i2_multi3,5,10,2,surveillance,multi3,261.0225684642792,robot_4,82.38104248046875
test_5_10_t_surveillance_i2_multi3,5,10,2,surveillance,multi3,261.0225684642792,robot_5,188.98232674598694
test_2_2_t_surveillance_i1_bl0,2,2,1,surveillance,bl0,94.50183510780334,robot_1,47.975059509277344
test_2_2_t_surveillance_i1_bl0,2,2,1,surveillance,bl0,94.50183510780334,robot_2,47.9780216217041
test_2_10_t_cleaning_i1_multi3,2,10,1,cleaning,multi3,321.01036071777344,robot_1,7.5012853145599365
test_2_10_t_cleaning_i1_multi3,2,10,1,cleaning,multi3,321.01036071777344,robot_2,51.01010799407959
test_5_10_t_cleaning_i2_bl2,5,10,2,cleaning,bl2,522.0219836235046,robot_1,196.34567523002625
test_5_10_t_cleaning_i2_bl2,5,10,2,cleaning,bl2,522.0219836235046,robot_2,359.87073826789856
test_5_10_t_cleaning_i2_bl2,5,10,2,cleaning,bl2,522.0219836235046,robot_3,508.50436329841614
test_5_10_t_cleaning_i2_bl2,5,10,2,cleaning,bl2,522.0219836235046,robot_4,501.0355579853058
test_5_10_t_cleaning_i2_bl2,5,10,2,cleaning,bl2,522.0219836235046,robot_5,505.50192189216614
test_5_20_t_agriculture_i1_bl0,5,20,1,agriculture,bl0,915.0220630168915,robot_1,199.19386267662048
test_5_20_t_agriculture_i1_bl0,5,20,1,agriculture,bl0,915.0220630168915,robot_2,715.1527926921844
test_5_20_t_agriculture_i1_bl0,5,20,1,agriculture,bl0,915.0220630168915,robot_3,904.5027425289154
test_5_20_t_agriculture_i1_bl0,5,20,1,agriculture,bl0,915.0220630168915,robot_4,910.5028126239777
test_5_20_t_agriculture_i1_bl0,5,20,1,agriculture,bl0,915.0220630168915,robot_5,915.0220630168915
test_5_10_t_surveillance_i1_bl0,5,10,1,surveillance,bl0,439.5021197795868,robot_1,155.7575433254242
test_5_10_t_surveillance_i1_bl0,5,10,1,surveillance,bl0,439.5021197795868,robot_2,421.4940230846405
