test_id,robot_count,mission_size,inventory_id,scenario,mode,completion_time,average_idle_time
test_2_20_t_cleaning_i1_multi3,2,20,1,cleaning,multi3,546.0106246471405,4.511656403541565
test_2_10_t_surveillance_i0_multi3,2,10,0,surveillance,multi3,382.502149105072,124.4699295759201
test_5_10_t_agriculture_i2_bl2,5,10,2,agriculture,bl2,435.0217332839966,344.03207898139954
test_5_2_t_agriculture_i2_multi3,5,2,2,agriculture,multi3,72.0226800441742,45.615255451202394
test_5_2_t_surveillance_i1_bl2,5,2,1,surveillance,bl2,117.02247881889343,92.68809871673584
test_5_10_t_surveillance_i2_bl2,5,10,2,surveillance,bl2,409.5021119117737,328.7207157611847
test_10_2_t_logistics_i0_bl0,10,2,0,logistics,bl0,99.03987503051758,88.66339225769043
test_10_10_t_logistics_i2_bl0,10,10,2,logistics,bl0,603.0399758815765,538.840538930893
test_2_10_t_agriculture_i2_bl2,2,10,2,agriculture,bl2,471.01072359085083,234.70198571681976
test_5_20_t_logistics_i2_bl1,5,20,2,logistics,bl1,1101.021384716034,872.9679942607879
test_10_2_t_logistics_i2_bl1,10,2,2,logistics,bl1,94.5019998550415,84.58742127418517
test_10_20_t_logistics_i0_multi3,10,20,0,logistics,multi3,627.0411777496338,504.06641976833345
test_10_2_t_cleaning_i2_bl1,10,2,2,cleaning,bl1,93.04081630706787,83.2717163324356
test_2_10_t_logistics_i0_bl0,2,10,0,logistics,bl0,583.5020802021027,275.8458100557327
test_5_10_t_logistics_i0_bl0,5,10,0,logistics,bl0,576.0221111774445,458.3431975841522
test_2_20_t_cleaning_i2_bl2,2,20,2,cleaning,bl2,891.0103459358215,444.73892843723297
test_2_10_t_surveillance_i2_bl1,2,10,2,surveillance,bl1,478.5019578933716,227.89489030838013
test_5_20_t_surveillance_i0_multi3,5,20,0,surveillance,multi3,501.0224235057831,300.83444862365724
test_5_2_t_cleaning_i0_bl2,5,2,0,cleaning,bl2,103.50135922431946,82.79877958297729
test_2_20_t_cleaning_i2_bl1,2,20,2,cleaning,bl1,883.502138376236,443.9953534603119
test_10_20_t_surveillance_i0_bl0,10,20,0,surveillance,bl0,778.5021407604218,698.4294628620148
test_10_2_t_logistics_i0_bl2,10,2,0,logistics,bl2,97.50203728675842,87.44107570648194
test_10_2_t_surveillance_i0_bl1,10,2,0,surveillance,bl1,118.50204944610596,106.34340803623199
test_2_2_t_cleaning_i1_multi3,2,2,1,cleaning,multi3,78.01053810119629,16.509310722351074
test_5_20_t_cleaning_i0_bl0,5,20,0,cleaning,bl0,1005.0215122699738,797.8665711402894
test_10_2_t_surveillance_i0_multi3,10,2,0,surveillance,multi3,93.04038786888123,79.3711933851242
test_10_10_t_cleaning_i2_bl0,10,10,2,cleaning,bl0,436.50210070610046,393.14876368045805
test_5_2_t_surveillance_i0_bl0,5,2,0,surveillance,bl0,81.02153515815735,64.1986406803131
test_5_20_t_logistics_i1_multi3,5,20,1,logistics,multi3,739.5022721290588,496.09048824310304
test_10_10_t_agriculture_i2_multi3,10,10,2,agriculture,multi3,135.04159927368164,80.85611932277679
test_10_2_t_cleaning_i2_multi3,10,2,2,cleaning,multi3,55.50130844116211,45.8946204662323
test_2_20_t_agriculture_i0_multi3,2,20,0,agriculture,multi3,645.0111031532288,108.74785244464874
test_10_20_t_agriculture_i1_bl1,10,20,1,agriculture,bl1,807.0405809879303,724.5382436752319
test_10_20_t_cleaning_i1_bl1,10,20,1,cleaning,bl1,982.5020780563354,882.6157210111618
test_5_10_t_cleaning_i0_bl0,5,10,0,cleaning,bl0,403.5020468235016,320.04312391281127
test_5_20_t_logistics_i1_bl2,5,20,1,logistics,bl2,1050.0226390361786,829.5178005218506
test_2_20_t_cleaning_i1_bl0,2,20,1,cleaning,bl0,828.0100162029266,411.7413274049759
test_10_20_t_surveillance_i0_bl2,10,20,0,surveillance,bl2,775.502245426178,695.7229793787003
test_2_10_t_cleaning_i0_bl1,2,10,0,cleaning,bl1,465.0101704597473,232.46695458889008
test_10_2_t_agriculture_i1_bl2,10,2,1,agriculture,bl2,123.04078483581543,110.86440930366516
test_2_2_t_surveillance_i2_bl2,2,2,2,surveillance,bl2,114.010089635849,56.9940140247345
test_5_20_t_agriculture_i0_bl0,5,20,0,agriculture,bl0,900.0233502388,711.0263520717621
test_2_20_t_agriculture_i1_bl0,2,20,1,agriculture,bl0,796.5025506019592,395.97824597358704
